,date,time,open,high,low,close
9082,21-12-02,19:08:50,113.149,113.149,113.142,113.144
9083,21-12-02,19:08:55,113.144,113.144,113.142,113.142
9084,21-12-02,19:09:00,113.142,113.145,113.142,113.143
9085,21-12-02,19:09:05,113.143,113.143,113.14,113.14
9086,21-12-02,19:09:10,113.14,113.142,113.127,113.129
9087,21-12-02,19:09:15,113.129,113.13,113.129,113.129
9088,21-12-02,19:09:20,113.129,113.134,113.129,113.134
9089,21-12-02,19:09:25,113.134,113.134,113.126,113.126
9090,21-12-02,19:09:30,113.126,113.13,113.126,113.128
9091,21-12-02,19:09:35,113.128,113.128,113.122,113.122
9092,21-12-02,19:09:40,113.122,113.122,113.12,113.12
9093,21-12-02,19:09:45,113.12,113.136,113.12,113.135
9094,21-12-02,19:09:50,113.135,113.15,113.135,113.149
9095,21-12-02,19:09:55,113.149,113.149,113.135,113.135
9096,21-12-02,19:10:00,113.135,113.135,113.132,113.132
9097,21-12-02,19:10:05,113.132,113.134,113.131,113.132
9098,21-12-02,19:10:10,113.132,113.134,113.13,113.134
9099,21-12-02,19:10:15,113.134,113.134,113.124,113.124
9100,21-12-02,19:10:20,113.124,113.131,113.122,113.131
9101,21-12-02,19:10:25,113.131,113.132,113.13,113.13
9102,21-12-02,19:10:30,113.13,113.13,113.122,113.126
9103,21-12-02,19:10:35,113.126,113.132,113.126,113.132
9104,21-12-02,19:10:40,113.132,113.132,113.126,113.126
9105,21-12-02,19:10:45,113.126,113.135,113.126,113.134
9106,21-12-02,19:10:50,113.134,113.134,113.132,113.132
9107,21-12-02,19:10:55,113.132,113.134,113.132,113.132
9108,21-12-02,19:11:00,113.132,113.136,113.132,113.136
9109,21-12-02,19:11:05,113.136,113.136,113.134,113.134
9110,21-12-02,19:11:10,113.134,113.134,113.131,113.134
9111,21-12-02,19:11:15,113.134,113.134,113.131,113.134
9112,21-12-02,19:11:20,113.134,113.134,113.132,113.134
9113,21-12-02,19:11:25,113.134,113.134,113.131,113.132
9114,21-12-02,19:11:30,113.132,113.134,113.131,113.134
9115,21-12-02,19:11:35,113.134,113.134,113.134,113.134
9116,21-12-02,19:11:40,113.134,113.136,113.132,113.136
9117,21-12-02,19:11:45,113.136,113.136,113.134,113.134
9118,21-12-02,19:11:50,113.134,113.138,113.134,113.136
9119,21-12-02,19:11:55,113.136,113.14,113.135,113.139
9120,21-12-02,19:12:00,113.139,113.14,113.138,113.14
9121,21-12-02,19:12:05,113.14,113.142,113.14,113.141
9122,21-12-02,19:12:10,113.141,113.156,113.141,113.152
9123,21-12-02,19:12:15,113.152,113.158,113.15,113.156
9124,21-12-02,19:12:20,113.156,113.157,113.156,113.156
9125,21-12-02,19:12:25,113.156,113.156,113.148,113.15
9126,21-12-02,19:12:30,113.15,113.15,113.148,113.148
